iter	Passed	Remaining
1261	175593	102684
1262	175600	102468
1263	175818	102375
1264	176078	102306
1265	176259	102191
1266	176441	102077
1267	176623	101962
1268	176807	101848
1269	176817	101635
1270	176959	101497
1271	177103	101361
1272	177169	101179
1273	177360	101070
1274	177522	100943
1275	177659	100803
1276	177788	100658
1277	177965	100540
1278	177975	100328
1279	178106	100184
1280	178248	100047
1281	178434	99934
1282	178601	99811
1283	178747	99675
1284	178876	99530
1285	179022	99394
1286	179178	99265
1287	179346	99142
1288	179514	99018
1289	179688	98898
1290	179844	98768
1291	179993	98634
1292	180149	98504
1293	180173	98301
1294	180338	98176
1295	180530	98065
1296	180674	97929
1297	180755	97758
1298	180997	97674
1299	181237	97589
1300	181419	97472
1301	181436	97267
1302	181716	97203
1303	181919	97097
1304	182126	96994
1305	182277	96861
1306	182456	96742
1307	182468	96535
1308	182487	96332
1309	182635	96197
1310	182645	95990
1311	182795	95856
1312	182804	95648
1313	183015	95547
1314	183167	95414
1315	183303	95273
1316	183388	95105
1317	183412	94906
1318	183420	94700
1319	183533	94547
1320	183670	94407
1321	183842	94285
1322	184031	94172
1323	184223	94059
1324	184389	93934
1325	184567	93814
1326	184733	93689
1327	184908	93568
1328	185078	93444
1329	185255	93324
1330	185391	93183
1331	185558	93058
1332	185707	92923
1333	185995	92858
1334	186006	92654
1335	186217	92551
1336	186384	92425
1337	186541	92294
1338	186595	92113
1339	186602	91908
1340	186842	91819
1341	187020	91698
1342	187338	91646
1343	187626	91579
1344	187635	91376
1345	187644	91173
1346	187820	91051
1347	187832	90850
1348	187986	90718
1349	188147	90589
1350	188309	90460
1351	188336	90267
1352	188490	90135
1353	188645	90003
1354	188695	89821
1355	188750	89642
1356	188916	89515
1357	189031	89365
1358	189188	89234
1359	189358	89109
1360	189512	88977
1361	189659	88842
1362	189811	88708
1363	189968	88577
1364	190144	88455
1365	190156	88257
1366	190292	88116
1367	190426	87974
1368	190587	87845
1369	190600	87648
1370	190719	87500
1371	190840	87352
1372	190997	87221
1373	191126	87077
1374	191299	86954
1375	191455	86822
1376	191589	86681
1377	191725	86540
1378	191835	86388
1379	192008	86264
1380	192174	86137
1381	192188	85942
1382	192338	85808
1383	192567	85709
1384	192740	85585
1385	192750	85388
1386	192790	85206
1387	193071	85129
1388	193261	85012
1389	193449	84894
1390	193617	84768
1391	193803	84649
1392	193979	84526
1393	194150	84401
1394	194300	84266
1395	194488	84148
1396	194647	84017
1397	194812	83889
1398	194972	83758
1399	195065	83599
1400	195196	83456
1401	195213	83264
1402	195365	83131
1403	195487	82984
1404	195635	82849
1405	195800	82721
1406	195978	82597
1407	195989	82404
1408	196146	82272
1409	196293	82136
1410	196460	82009
